genus	CON1	CON10	CON11	CON12	CON13	CON14	CON15	CON16	CON17	CON18	CON19	CON2	CON20	CON21	CON22	CON23	CON24	CON25	CON26	CON28	CON29	CON3	CON30	CON31	CON32	CON33	CON34	CON35	CON36	CON37	CON38	CON39	CON4	CON40	CON5	CON6	CON7	CON8	CON9	GA1	GA10	GA11	GA12	GA13	GA14	GA16	GA17	GA18	GA19	GA2	GA20	GA21	GA3	GA4	GA5	GA6	GA7	GA8	GA9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC16	NC17	NC18	NC19	NC2	NC21	NC22	NC3	NC4	NC5	NC6	NC7	NC8	NC9	qiu_HUA1	qiu_HUA10	qiu_HUA11	qiu_HUA12	qiu_HUA13	qiu_HUA14	qiu_HUA15	qiu_HUA16	qiu_HUA17	qiu_HUA18	qiu_HUA19	qiu_HUA2	qiu_HUA20	qiu_HUA21	qiu_HUA22	qiu_HUA23	qiu_HUA24	qiu_HUA25	qiu_HUA26	qiu_HUA27	qiu_HUA28	qiu_HUA29	qiu_HUA3	qiu_HUA30	qiu_HUA31	qiu_HUA32	qiu_HUA33	qiu_HUA34	qiu_HUA35	qiu_HUA36	qiu_HUA37	qiu_HUA38	qiu_HUA39	qiu_HUA4	qiu_HUA40	qiu_HUA41	qiu_HUA42	qiu_HUA43	qiu_HUA44	qiu_HUA45	qiu_HUA46	qiu_HUA47	qiu_HUA48	qiu_HUA49	qiu_HUA5	qiu_HUA50	qiu_HUA51	qiu_HUA52	qiu_HUA53	qiu_HUA54	qiu_HUA55	qiu_HUA56	qiu_HUA57	qiu_HUA58	qiu_HUA59	qiu_HUA6	qiu_HUA60	qiu_HUA61	qiu_HUA62	qiu_HUA63	qiu_HUA64	qiu_HUA65	qiu_HUA7	qiu_HUA8	qiu_HUA9	zhang_HUA1	zhang_HUA10	zhang_HUA11	zhang_HUA12	zhang_HUA13	zhang_HUA14	zhang_HUA15	zhang_HUA16	zhang_HUA17	zhang_HUA18	zhang_HUA19	zhang_HUA2	zhang_HUA20	zhang_HUA21	zhang_HUA3	zhang_HUA4	zhang_HUA5	zhang_HUA6	zhang_HUA7	zhang_HUA8	zhang_HUA9	SRR9592437	SRR9592438	SRR9592439	SRR9592440	SRR9592441	SRR9592442	SRR9592443	SRR9592444	SRR9592445	SRR9592446	SRR9592447	SRR9592448	SRR9592449	SRR9592450	SRR9592451	SRR9592452	SRR9592453	SRR9592454	SRR9592455	SRR9592456	SRR9592457	SRR9592458	SRR9592459	SRR9592460	SRR9592461	SRR9592462	SRR9592463	SRR9592464	SRR9592465	SRR9592466	SRR9592467	SRR9592468	SRR9592469	SRR9592470	SRR9592471	SRR9592472	SRR9592473	SRR9592474	SRR9592475	SRR9592476	SRR9592477	SRR9592478	SRR9592479	SRR9592481	SRR9592482	SRR9592607	SRR9592608	SRR9592609	SRR9592610	SRR9592611	SRR9592612	SRR9592613	SRR9592614	SRR9592615	SRR9592616	SRR9595012	SRR9595013	SRR9595014	SRR9595015	SRR9595016	SRR9595017	SRR9595018	SRR9595019	SRR15462451	SRR15462452	SRR15462453	SRR15462459	SRR15462470	SRR15462481	SRR15462490	SRR15462491	SRR15462492	SRR15462493	SRR15462494	SRR15462495	SRR15462496	SRR15462497	SRR15462498	SRR15462499	SRR15462500	SRR15462501	SRR15462502	SRR15462503	SRR15462504	SRR15462505	SRR15462506	SRR15462507	SRR15462508	SRR15462509	SRR15462510	SRR15462511	SRR15462512	SRR15462513	SRR15462514	SRR15462515	SRR21068189	SRR21068190	SRR21068191	SRR21068192	SRR21068193	SRR21068194	SRR21068196	SRR21068197	SRR21068198	SRR21068199	SRR21068200	SRR21068201	SRR21068202	SRR21068203	SRR21068204	SRR21068205	SRR21068207	SRR21068208	SRR21068209	SRR21068210	SRR21068211	SRR21068212	SRR21068213	SRR21068214	SRR21068215	SRR21068216	SRR21068218	SRR21068219	SRR21068220	SRR21068221	SRR21068222	SRR21068223	SRR21068224	SRR21068225	SRR21068226	SRR21068227	SRR21068228	SRR21068229	SRR21068230	SRR21068257	SRR21068258	SRR21068259	SRR21068260	SRR21068261	SRR21068262	SRR21068263	SRR21068264	SRR21068265	SRR21068266	SRR21068268	SRR21068269	SRR21068270	SRR21068271	SRR21068272	SRR21068273	SRR21068274	SRR21068275	SRR21068276	SRR21068277	SRR21068279	SRR21068280	SRR21068281	SRR21068282	SRR21068283	SRR21068284	SRR21068285	SRR21068286	SRR21068287	SRR21068288	SRR21068312	SRR21068313	SRR21068314	SRR21068315	SRR21068316	SRR21068317	SRR21068318	SRR21068319	SRR21068322	SRR21068323	SRR21068324	SRR21068325	SRR21068326	SRR21068327	SRR21068328	SRR21068329	SRR21068330	SRR21068331	SRR21068333	SRR21068334	SRR21068335	SRR21068336	SRR21068337	SRR21068338	SRR21068339	SRR21068340	SRR21068341	SRR21068342	SRR21068344	SRR21068345	SRR21068346	SRR21068347	SRR21068348	SRR21068349	SRR21068350	SRR21068351	SRR21068352	SRR21068353
g__Barnesiella	170	6	34	0	0	0	0	0	905	0	5119	0	245	101	0	522	0	0	0	0	0	2291	0	0	0	10	0	0	0	0	0	0	0	17	146	0	17	0	0	0	0	0	10	78	1	10	0	0	0	0	0	0	0	10	10	0	18	0	15	0	0	140	0	0	0	0	4	0	0	0	0	729	0	320	41	1119	0	0	0	0	4	0	0	0	10	0	10	146	10	0	0	88	0	0	15	0	0	0	0	0	0	144	45	0	374	0	0	0	719	31	0	772	0	0	1825	0	60	0	0	308	0	3330	209	0	1712	691	2872	0	264	0	0	0	0	3285	3713	0	0	0	0	4295	0	0	0	0	7	0	0	0	6396	0	313	0	0	0	0	0	933	42	0	0	0	597	107	0	0	4792	19	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	6	0	0	35	0	0	0	0	10	24	0	0	0	0	0	0	98	0	119	0	0	0	0	10	0	0	0	0	0	20	0	17	0	0	0	146	0	55	0	0	0	0	0	0	0	40	0	365	21	72	0	0	218	0	0	195	40	350	0	0	0	4106	122	102	7	0	0	35	416	31	320	0	345	225	0	72	48	0	384	2072	0	0	6	3997	3592	0	0	65	0	306	237	2729	603	0	0	0	0	0	816	0	1406	208	0	0	0	38	4836	0	27	65	3186	362	107	0	0	173	16	0	0	0	27	0	41	0	0	0	0	306	173	0	0	0	0	0	0	481	2473	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	31	259	0	0	2554	0	355	564	0	0	10	0	0	0	133	36	0	93	0	0	0	10
g__Bifidobacterium	444	3392	25	1874	14	0	1	11	0	396	0	155	371	570	323	0	412	1111	0	50	371	12411	57	43	2835	37863	0	0	0	11013	87	44	0	0	4654	0	0	0	0	0	0	0	1381	0	0	0	127	0	0	6491	0	14	0	0	0	0	0	8376	0	0	0	0	0	136	377	18044	0	2136	6888	810	53	331	16	0	0	0	10	0	0	0	0	0	0	0	7176	84	39	0	0	1	0	0	87	3446	0	148	0	1072	959	7728	4928	2574	206	11341	10868	736	1164	41596	645	0	1031	3187	15363	88	479	2482	1528	13461	1794	1248	5804	7	5329	1001	7	8007	13493	6053	12881	2112	20799	8693	6	1296	11724	14862	15372	19	4895	23261	19	0	7	206	1095	1545	7	3739	1838	1629	186	102	20	31	2956	332	245	1021	800	11	254	54	8407	154	6954	23728	14	0	0	8	0	0	0	0	0	0	0	1037	0	1568	19	1860	565	0	0	0	371	329	365	389	37	616	43	0	14	11	0	0	0	0	0	318	1297	0	0	10	5704	8371	4232	2243	87	0	0	76	0	0	15	20	0	27	21	287	62	0	111	0	157	524	0	21	0	423	50	2835	0	25	0	0	155	0	0	15	19	61	33	0	20	190	20	0	9	0	0	0	511	79	0	0	9	0	0	0	0	0	0	2871	148	0	116	106	164	3323	0	0	45	9290	0	16	514	81	0	156	0	4300	13078	50	0	0	12	62	8407	384	399	6899	2348	52	62	23010	7044	400	0	371	0	0	1037	0	0	10	278	33	8407	1526	1714	0	695	0	0	0	9	11	0	15897	148	102	1794	980	6734	7	3370	1306	0	0	479	10972	0	206	0	0	88	61	6	1306	0	189	245	29743	31	0	8350	4549	7	1528	20	2062	206	332	2574	13	310	1021	2448	19	0	1601	3135	5229	1836	47
g__Bilophila	26	0	0	28	0	0	111	666	20	115	3	361	139	52	0	30	92	11	0	1186	101	78	39	0	116	8	2040	0	59	0	45	0	39	0	250	14	1302	44	0	255	1943	454	0	8	0	134	15	0	9	0	0	0	8	75	0	15	33	0	0	105	0	25	0	95	481	0	21	12	0	0	0	114	52	114	139	0	0	124	32	4	8	0	16	0	676	1978	0	0	1798	214	69	0	0	27	12	688	0	2445	165	0	0	495	1268	52	301	38	547	0	1160	1646	2951	434	3936	1485	2302	0	295	231	4	0	2353	793	578	1349	2000	3120	124	771	2121	277	2376	25	1636	964	1457	697	3033	48	2166	2061	236	2403	988	826	409	551	1245	1050	849	15	225	425	928	1762	1645	153	568	1067	1055	16	408	667	1126	0	730	1266	11	0	0	105	0	0	0	73	0	0	0	0	92	37	0	0	0	0	0	0	8	0	31	52	34	20	0	0	0	14	0	0	0	44	45	0	7	0	0	41	16	134	9	19	0	15	16	14	95	0	25	62	0	27	28	8	0	0	109	0	5	32	29	91	46	47	0	0	0	0	139	115	25	378	799	166	41	143	112	64	12	0	17	151	72	44	166	73	78	171	54	181	96	14	68	862	41	1266	41	862	41	41	41	41	41	41	41	41	41	41	41	41	41	41	862	730	41	41	41	41	41	41	41	667	41	41	1126	41	41	41	41	41	41	41	41	1126	41	41	1126	41	1266	41	41	41	1266	41	1126	41	41	667	41	730	694	84	940	84	84	84	84	84	84	84	84	1202	84	976	84	84	784	84	784	1059	84	1029	578	84	84	84	557	84	557	84	84	84	84	430	84	84	84	84	84	84	84	84	493	84	834	84	84	84	84	84
g__Blautia	117	1508	181	194	862	4487	0	0	24	2693	282	63	30	0	353	213	251	1178	490	997	86	553	448	218	143	1013	864	35	724	1391	1249	22	47	0	767	162	47	46	610	1390	1390	43	184	39	0	550	35	76	265	31	402	47	135	8	46	35	225	42	0	241	344	47	497	15	522	476	56	38	8490	235	113	278	341	0	85	374	720	0	330	0	22	834	1108	117	0	138	544	168	46	1000	44	59	1391	1314	0	306	13184	988	1221	381	2230	121	1411	359	600	257	947	12269	156	355	1479	11565	1976	266	202	719	1886	1531	719	129	3900	103	381	519	390	754	472	956	339	289	1435	1230	6701	315	1398	251	838	1770	788	635	180	8286	140	1084	0	1563	1011	238	6677	164	382	339	121	1002	3997	378	2723	626	590	2654	5213	9397	950	449	247	3761	158	0	0	59	0	85	0	98	87	0	512	18	20	25	340	257	207	0	0	21	0	743	402	12	0	197	0	0	21	39	0	145	491	241	112	125	148	718	556	226	1108	174	930	46	0	47	543	156	35	76	140	731	1390	24	94	267	24	428	220	149	90	238	0	728	447	417	44	139	0	123	53	63	344	60	169	47	310	164	258	377	53	204	0	442	388	119	59	304	1060	293	0	93	155	0	228	0	676	0	398	53	667	1708	60	75	1438	996	790	460	2337	191	9397	233	422	739	0	167	351	9397	7582	1017	242	344	247	139	1233	762	340	438	5372	950	30	197	1860	219	490	0	4051	322	24	63	0	252	898	19	514	291	0	1020	0	92	0	0	180	0	293	0	66	386	305	47	0	166	330	221	255	159	239	0	53	870	150	120	626	180	310	164	304	532	203	47	289	771	381	947	306	129	389	339	273	495	120	7644	186	438	593	1012	108	0	1763	4270	956	249
g__Butyricicoccus	0	12	108	475	189	18	64	32	60	0	94	55	23	113	82	0	246	46	0	209	83	0	86	761	293	50	70	7	133	139	133	9	129	0	132	408	67	72	162	133	180	114	38	0	0	26	0	124	28	0	57	38	70	0	17	27	13	0	0	149	0	27	135	22	248	0	160	0	726	27	7	63	71	0	106	40	16	0	17	134	0	52	180	132	139	11	49	63	133	72	6	107	150	81	0	100	607	354	92	116	0	85	270	867	240	175	181	202	287	0	893	99	0	24	111	156	481	378	0	77	18	23	185	195	149	613	119	615	61	36	80	467	79	71	72	1488	202	217	194	81	48	321	18	33	36	180	262	24	305	144	178	83	0	193	121	190	292	94	113	215	690	87	34	13	63	67	56	54	270	159	84	0	167	45	0	9	0	23	12	0	32	101	61	0	21	10	0	164	23	13	7	15	0	0	5	19	0	203	272	139	103	70	0	49	51	27	79	17	408	122	26	0	106	28	130	14	59	133	0	0	22	180	0	19	46	113	80	171	0	125	82	64	45	0	293	120	0	0	0	138	0	0	64	83	41	56	0	78	69	101	72	52	61	16	129	90	18	26	0	0	0	23	0	0	61	55	270	40	67	690	640	588	164	270	57	246	27	83	293	17	61	0	81	64	361	282	293	46	83	112	45	293	83	0	91	251	50	20	0	180	164	0	159	11	0	743	0	0	690	69	118	215	0	203	3	141	11	215	8	30	129	0	0	377	185	46	0	185	35	82	124	16	46	0	26	18	79	57	194	135	35	106	72	0	118	19	146	91	24	0	70	154	26	511	0	24	113	0	63	83	0	57	100	225	149	24	18	75
g__Butyricimonas	156	0	115	1124	0	0	28	56	706	0	190	0	345	73	0	0	0	0	0	0	0	365	241	0	2752	0	0	0	0	0	0	0	1033	11	181	19	34	702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	38	0	28	0	0	0	0	2	0	0	0	0	0	0	0	0	0	175	0	0	36	0	0	6	0	0	0	0	70	0	912	9	0	253	29	907	4	31	0	0	0	265	0	5296	193	0	0	271	143	15	321	0	2142	0	494	34	0	101	0	101	111	0	39	522	0	52	0	624	0	5355	714	826	89	1077	0	0	2529	0	0	922	559	0	27	54	1183	298	60	1373	366	0	87	411	1665	147	1422	0	0	102	0	0	1576	0	47	76	33	0	210	182	933	0	1316	1594	0	0	0	194	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	25	55	0	44	0	0	0	0	67	0	0	0	0	0	11	0	0	34	0	0	0	0	0	0	0	0	116	0	0	0	24	0	365	74	0	0	9	80	0	0	0	593	0	0	973	0	584	366	123	0	0	22	39	219	0	192	79	233	73	147	38	0	0	90	365	29	29	1594	1455	29	29	29	29	29	29	29	1061	29	29	1061	1061	29	29	678	29	479	29	29	29	29	365	29	1316	29	29	29	29	479	29	29	29	29	29	29	29	29	29	29	29	3331	3331	29	29	29	29	29	29	29	29	479	593	410	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	994	38	38	38	38	254	38	38	38	38	38	38	655	38	38	38	38	38	38	38	38	38	38	459	38	38	38	38	38	38
g__CAG-352	0	0	0	0	0	0	0	0	0	0	0	0	8944	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	115	0	0	0	5529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	340	0	0	21	0	0	0	0	0	0	0	0	5529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6821	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	951	0	0	0	0	0	0	0	0	305	0	0	10	153	0	0	0	0	0	0	12367	22205	0	0	0	0	64	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	295	0	0	0	1544	0	0	90	0	0	0	0	0	305	0	0	0	0	0	0	0	3114	828	0	0	0	0	13892	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	700	0	0	0	0	0	0	0	0	0	106	0	0	0	0	10342	0	0	42	3	0	0	0	0	0	0	0	0
g__CAG-56	0	230	0	5	0	0	0	0	0	2080	186	0	33	0	0	147	0	352	59	0	0	85	0	0	0	0	36	10	0	672	0	2	0	0	155	0	0	65	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	247	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	134	0	0	0	0	44	0	0	672	97	19	0	432	0	0	36	250	0	0	0	0	33	0	105	251	0	0	0	24	0	18	31	42	0	49	0	0	0	0	0	0	58	147	346	0	0	0	0	59	63	0	109	70	48	63	49	0	1357	0	34	76	0	0	0	22	57	0	0	0	159	12	313	0	112	0	44	24	0	0	0	0	0	327	33	0	0	0	0	510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	160	0	0	0	0	29	672	458	290	0	23	0	10	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	157	148	114	15	0	0	0	0	0	63	0	0	0	0	0	31	0	0	0	0	361	0	51	0	0	65	96	0	0	0	0	0	0	133	0	148	0	162	195	0	0	0	2080	230	27	0	0	0	34	0	0	8	0	0	0	0	0	0	0	449	0	0	0	21	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	552	0	0	63	0	0	0	98	0	0	41	30	0	0	0	68	0	0	0	544	188	63	0	0	0	0	23	125	0	0	0	34	93	0	2	0	54	0	60	256	0	0	0	0	0	0	48	0	58	0	0	50	0	0	16	0	0	0	0	0
g__Candidatus_Soleaferrea	0	0	0	7	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	14	0	0	7	0	25	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	19	0	0	0	0	1	5	0	0	0	0	0	0	9	3	0	0	2	11	0	0	0	4	0	25	0	0	25	0	11	14	36	0	0	0	0	12	0	0	13	0	13	3	4	0	0	0	0	0	3	0	0	0	0	21	0	0	0	5	0	0	0	0	0	0	0	0	0	4	0	0	0	17	0	10	0	0	14	10	0	15	15	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	22	0	0	16	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	6	0	0	13	0	0	0	0	28	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	20	0	0	0	7	12	0	14	0	0	7	0	0	0	12	0	0	0	0	0	0	0	0	0	0
g__Catenibacterium	0	0	1334	0	0	0	1678	2704	0	0	0	0	0	0	0	1325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	694	0	0	0	0	0	0	0	0	0	403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	833	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3681	0	496	7462	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	57	17	80	33	81	65	105	155	155	0	227	234	0	281	38	199	639	18	0	63	0	150	0	0	350	0	0	81	204	610	45	99	42	0	106	62	291	244	0	152	0	0	1066	0	2323	0	0	0	0	0	0	0	0	0	0	54	552	0	521	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	414	0	0	164	0	0	0	0	0	0	51	0	528	30	482	367	0	646	0	342	122	121	0	13	0	16	0	61	0	6	165
g__Christensenellaceae_R-7_group	0	0	1499	15	0	0	19	37	0	0	4198	0	0	0	0	23	0	101	0	0	0	285	0	0	7	0	0	10	0	0	0	0	0	28	1133	0	314	42	0	0	0	0	282	0	0	0	0	132	0	0	0	1	0	0	0	0	165	0	164	0	0	17	0	776	0	0	0	0	0	0	0	4198	0	0	18	80	0	0	0	0	0	0	19	0	164	16	0	94	5	0	0	168	0	0	0	11	0	0	62	0	0	150	44	0	2789	40	343	0	1621	0	0	0	0	0	0	0	116	0	0	97	0	17	26	0	29	70	430	2198	0	9	0	0	0	183	909	0	0	0	659	0	24	29	0	0	0	3909	11	659	159	0	154	286	0	0	0	0	7884	10	0	0	0	6	1565	0	108	1699	37	0	23	76	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	11	0	18	0	0	0	0	0	0	0	0	0	926	0	0	0	0	0	0	0	164	19	0	0	0	0	128	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	22	0	0	0	921	0	117	0	12	0	0	1499	0	0	4	0	973	20	0	0	0	13	0	32	0	200	0	0	461	9	19	0	0	571	12	37	7	225	0	6738	0	0	0	3435	20	23	2181	0	0	28	104	0	0	64	310	454	0	0	0	0	0	314	1499	0	0	0	37	22	0	1532	776	117	92	0	0	0	9	18	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	659	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	9	3341	564	10	738	1138	185	20	97	150	0	50	0	0	0	0	13	0
g__Clostridia_UCG-014	0	11	1644	0	0	0	0	0	0	799	12258	0	0	0	0	288	0	0	0	0	0	0	44	11	0	0	0	260	0	0	0	0	788	0	231	67	397	0	0	0	0	0	6701	0	0	0	0	0	1040	0	0	229	0	0	0	0	160	0	0	0	42	0	0	208	0	0	0	0	0	0	0	2514	0	0	0	0	0	0	0	0	0	0	63	0	255	0	0	648	0	6701	0	221	0	0	42	1296	0	570	50	0	0	386	0	0	4491	0	0	0	0	0	0	42	0	568	0	0	0	0	0	0	0	0	0	9788	0	0	5124	1067	0	0	10	0	0	0	1012	0	0	0	10679	34341	0	0	0	0	0	0	0	0	0	0	1294	1804	0	0	0	0	2194	0	0	0	0	0	1751	0	0	0	16	0	127	1538	0	0	0	0	0	0	0	0	0	64	0	0	313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	408	0	0	1866	0	0	0	0	231	0	0	0	0	0	0	0	0	0	97	42	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	45	37	0	0	1795	0	0	0	0	0	0	0	0	0	0	0	90	0	36	0	260	802	512	0	25	0	578	18	0	0	0	673	308	0	6590	0	0	0	0	0	127	0	0	1644	0	61	0	5038	0	0	0	0	37	0	127	21370	0	45	0	2686	0	0	1220	1453	64	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	568	831	0	8511	0	574	0	289	0	0	0	0	0	0	0	1536	0
g__Clostridia_vadinBB60_group	0	0	5199	0	0	0	6	0	0	0	159	0	0	0	0	0	0	0	0	0	0	57	0	0	13	0	0	0	0	0	0	0	0	25	49	0	0	0	0	0	0	0	97	0	0	0	0	6	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	353	0	0	74	0	0	0	0	0	0	0	0	0	14	3	0	0	0	4	0	19	0	0	0	0	0	8	0	0	0	0	0	0	22	0	6	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	20	0	0	0	0	0	0	4	0	0	0	38	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400	0	0	0	0	10	0	0	0	0	0	0	0	0	20	0	38	207	14	0	0	0	0	0	4	0	0	0	4	0	0	0	0	0	0	3	0	0	67	67	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	7	12	0	8	0	0	0	5	0	0	0	0	0	0	0	5	0
g__Clostridium_sensu_stricto_1	77	127	224	63	28	668	14	9	0	0	0	0	0	0	73	21	79	0	0	0	16	12	34	92	0	0	18	16	0	584	49	0	0	10	26	0	0	0	0	0	0	0	0	44	3788	6	12	0	110	88	299	0	669	198	0	0	0	0	0	0	0	0	0	29	0	13	0	0	777	0	0	0	4	0	0	0	0	0	0	25	0	107	176	2220	0	0	72	464	16	12	0	46	187	78	11	6	1931	1126	0	49	67	6	159	5005	167	160	303	676	159	160	0	1005	46	0	10	71	1196	19	273	44	52	53	70	94	146	282	78	18	0	200	0	0	188	0	11	207	0	2815	163	2152	0	0	0	0	361	1292	18	77	52	0	552	263	21	19	0	0	3162	12	6	0	26	0	16	16	11	237	79	0	0	1040	74	0	0	0	28	0	70	0	0	0	153	31	185	0	79	0	0	0	95	0	0	13	0	0	0	0	0	94	0	0	177	0	22	0	0	0	0	0	110	47	0	0	0	16	49	0	0	0	0	10	6	26	2	0	0	0	13	0	7	0	433	341	0	130	0	1878	0	0	15	19	0	0	0	73	136	0	33	0	53	0	19	113	0	0	23	11	26	0	0	74	0	0	16	0	79	0	47	31	14	0	23	30	13	0	79	28	0	28	0	1040	0	28	16	79	0	12	77	608	202	26	0	91	19	64	0	4	0	104	26	364	0	0	70	0	75	0	0	0	276	1040	0	163	23	0	12	0	6	0	61	0	0	0	51	0	0	0	0	28	19	0	11	0	6	0	0	0	0	159	0	93	160	0	0	0	0	0	0	74	188	378	2	11	18	0	22	646	39	268	178	0	5005	18	0	0	1886	303	970	1244
